timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-19,803.0,826.0,797.65,823.35,823.35,223566,0.0000,1.0
2021-03-18,839.95,847.5,802.45,806.85,806.85,90364,0.0000,1.0
2021-03-17,849.95,852.3,832.6,838.7,838.7,109327,0.0000,1.0
2021-03-16,842.95,852.8,828.35,840.75,840.75,68214,0.0000,1.0
2021-03-15,848.0,848.1,817.0,834.7,834.7,147083,0.0000,1.0
2021-03-12,858.0,863.65,844.0,848.25,848.25,153063,0.0000,1.0
2021-03-10,854.95,863.95,850.25,857.7,857.7,84743,0.0000,1.0
2021-03-09,864.0,869.95,844.25,852.8,852.8,66408,0.0000,1.0
2021-03-08,865.0,876.2,859.7,863.8,863.8,171132,0.0000,1.0
2021-03-05,871.0,873.9,856.2,862.6,862.6,61657,0.0000,1.0
2021-03-04,871.5,884.5,869.0,874.5,874.5,117699,0.0000,1.0
2021-03-03,886.5,888.5,875.15,880.8,880.8,226532,0.0000,1.0
2021-03-02,885.3,889.3,869.0,886.75,886.75,153890,0.0000,1.0
2021-03-01,868.9,878.0,849.45,873.2,873.2,231116,0.0000,1.0
2021-02-26,852.0,872.0,844.5,854.9,854.9,220441,0.0000,1.0
2021-02-25,863.15,875.0,856.25,863.15,863.15,142759,0.0000,1.0
2021-02-24,869.0,878.45,850.55,862.15,862.15,324714,0.0000,1.0
2021-02-23,858.0,862.4,837.5,856.0,856.0,178712,0.0000,1.0
2021-02-22,886.2,889.95,850.0,858.1,858.1,393399,1.5000,1.0
2021-02-19,912.0,921.2,883.0,888.65,887.15,155734,0.0000,1.0
2021-02-18,923.0,925.0,910.0,911.8,910.2609,157326,0.0000,1.0
2021-02-17,936.1,942.45,915.7,922.2,920.6434,106555,0.0000,1.0
2021-02-16,939.95,942.5,923.8,936.1,934.5199,97857,0.0000,1.0
2021-02-15,938.0,944.85,929.05,932.25,930.6764,70160,0.0000,1.0
2021-02-12,952.0,952.0,924.1,929.9,928.3304,100809,0.0000,1.0
2021-02-11,952.0,969.55,928.1,935.1,933.5216,260384,0.0000,1.0
2021-02-10,960.0,979.85,948.3,967.85,966.2163,165635,0.0000,1.0
2021-02-09,960.55,974.5,952.0,959.45,957.8305,270348,0.0000,1.0
2021-02-08,945.0,959.9,940.85,957.05,955.4345,359252,0.0000,1.0
2021-02-05,939.9,954.75,925.15,942.8,941.2086,166153,0.0000,1.0
2021-02-04,916.05,935.55,912.1,926.5,924.9361,94333,0.0000,1.0
2021-02-03,925.0,948.75,916.95,920.05,918.497,217953,0.0000,1.0
2021-02-02,922.3,938.85,910.85,921.9,920.3439,141230,0.0000,1.0
2021-02-01,915.0,926.6,889.05,922.2,920.6434,131860,0.0000,1.0
2021-01-29,954.85,954.85,900.6,905.7,904.1712,142329,0.0000,1.0
2021-01-28,943.0,954.5,925.95,944.35,942.756,124790,0.0000,1.0
2021-01-27,1002.3,1002.3,950.0,959.45,957.8305,119666,0.0000,1.0
2021-01-25,930.0,1023.1,930.0,998.0,996.3154,526031,0.0000,1.0
2021-01-22,904.0,947.65,880.55,923.65,922.0909,279092,0.0000,1.0
2021-01-21,930.15,937.95,897.8,902.65,901.1264,56317,0.0000,1.0
2021-01-20,929.0,942.55,920.0,929.9,928.3304,42171,0.0000,1.0
2021-01-19,930.0,931.3,918.5,923.75,922.1908,34179,0.0000,1.0
2021-01-18,934.65,937.0,900.85,916.35,914.8032,123593,0.0000,1.0
2021-01-15,957.85,957.85,924.35,936.3,934.7196,181999,0.0000,1.0
2021-01-14,941.0,969.0,928.75,959.15,957.531,117782,0.0000,1.0
2021-01-13,957.5,974.8,928.45,947.2,945.6012,198828,0.0000,1.0
2021-01-12,970.0,975.1,953.05,957.5,955.8838,143520,0.0000,1.0
2021-01-11,950.0,966.95,940.2,964.9,963.2713,172226,0.0000,1.0
2021-01-08,953.0,966.5,941.0,945.65,944.0538,112843,0.0000,1.0
2021-01-07,976.4,977.4,954.75,957.3,955.6841,95870,0.0000,1.0
2021-01-06,981.0,983.45,955.75,968.85,967.2146,109606,0.0000,1.0
2021-01-05,962.0,996.65,960.9,978.6,976.9482,264118,0.0000,1.0
2021-01-04,932.05,969.3,926.65,966.55,964.9185,362890,0.0000,1.0
2021-01-01,925.0,934.5,914.15,927.9,926.3337,83993,0.0000,1.0
2020-12-31,907.0,942.4,905.0,920.8,919.2457,393067,0.0000,1.0
2020-12-30,901.2,909.95,892.5,906.85,905.3193,62103,0.0000,1.0
2020-12-29,910.15,919.05,897.45,903.55,902.0248,56679,0.0000,1.0
2020-12-28,919.95,921.0,903.95,907.95,906.4174,169794,0.0000,1.0
2020-12-24,900.0,912.0,878.85,909.0,907.4657,228004,0.0000,1.0
2020-12-23,864.95,892.45,848.6,889.9,888.3979,50226,0.0000,1.0
2020-12-22,845.0,860.0,822.0,856.8,855.3538,259990,0.0000,1.0
2020-12-21,891.95,905.4,801.0,845.7,844.2725,254796,0.0000,1.0
2020-12-18,874.35,888.7,863.0,885.95,884.4546,54645,0.0000,1.0
2020-12-17,880.0,889.9,869.25,871.9,870.4283,110980,0.0000,1.0
2020-12-16,880.5,884.1,870.55,875.75,874.2718,55458,0.0000,1.0
2020-12-15,892.95,894.05,871.4,874.05,872.5746,74553,0.0000,1.0
2020-12-14,899.95,905.65,888.0,889.05,887.5493,74383,0.0000,1.0
2020-12-11,905.95,905.95,887.85,897.35,895.8353,66939,0.0000,1.0
2020-12-10,894.1,907.95,888.85,898.8,897.2829,108888,0.0000,1.0
2020-12-09,900.0,907.7,885.15,887.7,886.2016,86944,0.0000,1.0
2020-12-08,913.2,917.55,888.65,895.75,894.238,111274,0.0000,1.0
2020-12-07,900.65,923.0,898.0,910.9,909.3624,128199,0.0000,1.0
2020-12-04,898.5,909.35,892.6,900.45,898.9301,150601,0.0000,1.0
2020-12-03,899.0,902.6,887.8,898.35,896.8336,57347,0.0000,1.0
2020-12-02,897.5,905.5,880.85,889.05,887.5493,137674,0.0000,1.0
2020-12-01,870.0,899.05,870.0,897.25,895.7355,109658,0.0000,1.0
2020-11-27,870.5,893.35,865.0,868.05,866.5848,118850,0.0000,1.0
2020-11-26,854.7,872.85,850.05,870.5,869.0306,93439,0.0000,1.0
2020-11-25,882.5,889.1,850.65,852.65,851.2108,186655,0.0000,1.0
