timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-19,1738.0,1877.7,1701.45,1857.1,1857.1,254577,0.0000,1.0
2021-03-18,1838.0,1861.6,1743.25,1764.35,1764.35,173229,0.0000,1.0
2021-03-17,1909.95,1919.5,1792.8,1821.6,1821.6,91364,0.0000,1.0
2021-03-16,1938.0,1938.0,1890.95,1903.05,1903.05,104896,0.0000,1.0
2021-03-15,2002.0,2007.7,1916.95,1946.5,1946.5,104028,0.0000,1.0
2021-03-12,2034.0,2062.65,1965.05,1986.75,1986.75,113352,0.0000,1.0
2021-03-10,2046.0,2049.5,2008.0,2017.5,2017.5,61887,0.0000,1.0
2021-03-09,2050.0,2072.95,2015.0,2025.55,2025.55,386309,0.0000,1.0
2021-03-08,1950.0,2025.9,1926.2,2015.8,2015.8,149488,0.0000,1.0
2021-03-05,1970.0,1997.0,1895.8,1939.3,1939.3,309714,0.0000,1.0
2021-03-04,1884.35,2014.6,1873.65,1961.55,1961.55,475792,0.0000,1.0
2021-03-03,1903.8,1929.95,1868.25,1884.35,1884.35,102804,0.0000,1.0
2021-03-02,1969.0,1989.0,1869.75,1897.15,1897.15,495747,0.0000,1.0
2021-03-01,1792.4,1974.0,1776.95,1939.0,1939.0,342500,0.0000,1.0
2021-02-26,1695.0,1810.0,1681.9,1758.65,1758.65,251073,0.0000,1.0
2021-02-25,1690.0,1738.3,1670.65,1726.1,1726.1,260844,0.0000,1.0
2021-02-24,1637.0,1688.65,1632.0,1675.95,1675.95,117773,0.0000,1.0
2021-02-23,1605.0,1641.85,1594.25,1632.4,1632.4,99586,0.0000,1.0
2021-02-22,1674.35,1675.0,1597.35,1620.7,1620.7,154291,0.0000,1.0
2021-02-19,1700.0,1714.85,1654.95,1674.35,1674.35,164038,0.0000,1.0
2021-02-18,1695.0,1725.1,1690.8,1701.4,1701.4,53453,0.0000,1.0
2021-02-17,1674.65,1729.25,1656.35,1698.05,1698.05,245359,0.0000,1.0
2021-02-16,1715.0,1733.85,1662.0,1674.65,1674.65,84140,0.0000,1.0
2021-02-15,1731.9,1744.9,1682.0,1712.95,1712.95,158791,0.0000,1.0
2021-02-12,1632.0,1768.8,1625.6,1729.2,1729.2,362599,0.0000,1.0
2021-02-11,1629.0,1638.4,1612.0,1618.6,1618.6,75397,0.0000,1.0
2021-02-10,1649.0,1674.55,1611.2,1618.4,1618.4,150026,0.0000,1.0
2021-02-09,1628.95,1688.65,1592.0,1641.45,1641.45,257856,0.0000,1.0
2021-02-08,1564.0,1629.0,1561.35,1618.4,1618.4,231461,0.0000,1.0
2021-02-05,1546.05,1580.0,1513.6,1554.4,1554.4,345875,0.0000,1.0
2021-02-04,1470.7,1540.0,1465.0,1523.4,1523.4,125066,0.0000,1.0
2021-02-03,1479.0,1498.0,1462.35,1469.2,1469.2,71130,0.0000,1.0
2021-02-02,1468.95,1477.8,1461.1,1470.0,1470.0,184512,0.0000,1.0
2021-02-01,1466.15,1496.0,1451.15,1460.45,1460.45,312691,0.0000,1.0
2021-01-29,1470.0,1478.85,1448.0,1457.0,1457.0,65022,0.0000,1.0
2021-01-28,1435.0,1523.0,1434.3,1456.5,1456.5,181038,0.0000,1.0
2021-01-27,1430.0,1442.65,1422.3,1437.9,1437.9,110425,0.0000,1.0
2021-01-25,1435.0,1444.4,1417.35,1426.9,1426.9,42760,0.0000,1.0
2021-01-22,1457.0,1462.1,1424.0,1432.3,1432.3,52754,0.0000,1.0
2021-01-21,1460.0,1482.0,1449.9,1453.85,1453.85,61964,0.0000,1.0
2021-01-20,1445.0,1458.5,1436.95,1452.1,1452.1,36751,0.0000,1.0
2021-01-19,1435.6,1447.45,1432.3,1442.3,1442.3,91597,0.0000,1.0
2021-01-18,1449.0,1461.85,1418.0,1423.6,1423.6,67133,0.0000,1.0
2021-01-15,1475.0,1475.0,1436.55,1440.7,1440.7,56884,0.0000,1.0
2021-01-14,1470.0,1482.0,1452.5,1463.0,1463.0,50981,0.0000,1.0
2021-01-13,1485.1,1497.0,1441.35,1460.75,1460.75,142274,0.0000,1.0
2021-01-12,1461.65,1496.0,1450.0,1481.7,1481.7,215040,0.0000,1.0
2021-01-11,1483.0,1483.65,1454.0,1461.65,1461.65,203674,0.0000,1.0
2021-01-08,1504.9,1509.35,1462.0,1470.9,1470.9,60635,0.0000,1.0
2021-01-07,1497.0,1510.0,1480.2,1489.05,1489.05,77753,0.0000,1.0
2021-01-06,1463.0,1514.8,1449.05,1482.8,1482.8,186534,0.0000,1.0
2021-01-05,1440.0,1463.0,1430.0,1456.8,1456.8,169675,0.0000,1.0
2021-01-04,1460.0,1467.95,1443.6,1451.15,1451.15,150886,0.0000,1.0
2021-01-01,1449.0,1458.5,1440.95,1445.0,1445.0,39682,0.0000,1.0
2020-12-31,1445.0,1465.0,1431.05,1437.25,1437.25,74927,0.0000,1.0
2020-12-30,1424.9,1444.9,1408.25,1434.1,1434.1,59767,0.0000,1.0
2020-12-29,1428.0,1428.0,1405.05,1409.2,1409.2,52290,0.0000,1.0
2020-12-28,1419.95,1438.0,1412.0,1417.9,1417.9,51467,0.0000,1.0
2020-12-24,1421.0,1428.0,1403.05,1408.7,1408.7,154238,0.0000,1.0
2020-12-23,1414.9,1422.8,1380.1,1411.9,1411.9,47876,0.0000,1.0
2020-12-22,1370.0,1408.55,1335.95,1398.35,1398.35,409054,0.0000,1.0
2020-12-21,1425.0,1436.4,1360.0,1374.8,1374.8,150931,0.0000,1.0
2020-12-18,1428.95,1455.8,1410.0,1424.35,1424.35,124653,0.0000,1.0
2020-12-17,1428.05,1441.0,1415.0,1424.8,1424.8,157674,0.0000,1.0
2020-12-16,1457.0,1457.0,1420.5,1424.0,1424.0,137773,0.0000,1.0
2020-12-15,1497.85,1497.85,1431.0,1440.55,1440.55,214418,0.0000,1.0
2020-12-14,1422.0,1508.4,1422.0,1478.65,1478.65,692539,0.0000,1.0
2020-12-11,1404.0,1450.0,1400.0,1425.2,1425.2,441166,0.0000,1.0
2020-12-10,1405.0,1524.4,1405.0,1451.95,1451.95,1023333,0.0000,1.0
2020-12-09,1661.0,1701.2,1600.5,1618.05,1618.05,168562,0.0000,1.0
2020-12-08,1710.0,1793.0,1600.0,1643.55,1643.55,323958,0.0000,1.0
2020-12-07,1588.95,1720.0,1584.95,1690.8,1690.8,622338,0.0000,1.0
2020-12-04,1385.0,1596.0,1383.85,1573.0,1573.0,411205,0.0000,1.0
2020-12-03,1360.0,1395.05,1352.0,1376.7,1376.7,78253,0.0000,1.0
2020-12-02,1359.3,1367.0,1347.0,1350.15,1350.15,29351,0.0000,1.0
2020-12-01,1352.0,1367.0,1348.0,1358.7,1358.7,34775,0.0000,1.0
2020-11-27,1351.1,1365.55,1347.65,1353.75,1353.75,36557,0.0000,1.0
2020-11-26,1354.5,1359.95,1346.0,1351.4,1351.4,23115,0.0000,1.0
